COLUMNA_REAL,COLUMNA_NORMALIZADA,TOTAL_FILAS,NO_VACIOS,VACIOS,PORCENTAJE_COMPLETITUD,VALORES_UNICOS,EJEMPLOS,CONTIENE_MARCAS_TECNICAS,HOJA_BASE,CAMPO_MANUAL_MAPEADO,METODO_MAPEO,SCORE_MAPEO,ESTADO_FUENTE_MANUAL,RECLASIFICACION_HITO7BIS
AREA_AGRI_SILVI_PESCA_VET,AREA_AGRI_SILVI_PESCA_VET,71,71,0,100.0,3,0 | REVISAR_AREA_AGRI_SILVI_PESCA_VET_SIN_FUENTE | CONFLICTO_REVISAR_AREA_AGRI_SILVI_PESCA_VET_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
AREA_ARTES_HUMANIDADES,AREA_ARTES_HUMANIDADES,71,71,0,100.0,3,0 | REVISAR_AREA_ARTES_HUMANIDADES_SIN_FUENTE | CONFLICTO_REVISAR_AREA_ARTES_HUMANIDADES_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
AREA_CIENCIAS_NAT_MAT_ESTAD,AREA_CIENCIAS_NAT_MAT_ESTAD,71,71,0,100.0,4,0 | REVISAR_AREA_CIENCIAS_NAT_MAT_ESTAD_SIN_FUENTE | 1 | CONFLICTO_REVISAR_AREA_CIENCIAS_NAT_MAT_ESTAD_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
AREA_CS_SOCIAL_PERIODISMO_INFO,AREA_CS_SOCIAL_PERIODISMO_INFO,71,71,0,100.0,3,0 | REVISAR_AREA_CS_SOCIAL_PERIODISMO_INFO_SIN_FUENTE | CONFLICTO_REVISAR_AREA_CS_SOCIAL_PERIODISMO_INFO_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
AREA_EDUCACION,AREA_EDUCACION,71,71,0,100.0,3,0 | REVISAR_AREA_EDUCACION_SIN_FUENTE | CONFLICTO_REVISAR_AREA_EDUCACION_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
AREA_INGE_INDUSTRIA_CONSTRUC,AREA_INGE_INDUSTRIA_CONSTRUC,71,71,0,100.0,3,0 | REVISAR_AREA_INGE_INDUSTRIA_CONSTRUC_SIN_FUENTE | CONFLICTO_REVISAR_AREA_INGE_INDUSTRIA_CONSTRUC_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
AREA_SALUD_BIENESTAR,AREA_SALUD_BIENESTAR,71,71,0,100.0,4,0 | 1 | REVISAR_AREA_SALUD_BIENESTAR_SIN_FUENTE | CONFLICTO_REVISAR_AREA_SALUD_BIENESTAR_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
AREA_SERVICIOS,AREA_SERVICIOS,71,71,0,100.0,4,0 | 1 | REVISAR_AREA_SERVICIOS_SIN_FUENTE | CONFLICTO_REVISAR_AREA_SERVICIOS_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
AREA_TECNO_INFO_COMUNICA,AREA_TECNO_INFO_COMUNICA,71,71,0,100.0,4,0 | 1 | REVISAR_AREA_TECNO_INFO_COMUNICA_SIN_FUENTE | CONFLICTO_REVISAR_AREA_TECNO_INFO_COMUNICA_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
VACANTES_PRIMER_SEMESTRE,VACANTES_PRIMER_SEMESTRE,71,71,0,100.0,15,25 | 0 | 45 | 5 | 55 | 90 | 30 | 60,True,CANDIDATO_CARGA_LIMPIO,Vacantes Primer Semestre,EXACTO_NORMALIZADO,1.0,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL
VACANTES_SEGUNDO_SEMESTRE,VACANTES_SEGUNDO_SEMESTRE,71,71,0,100.0,4,25 | 0 | REVISAR_VACANTES_SEGUNDO_SEMESTRE_SIN_FUENTE | CONFLICTO_REVISAR_VACANTES_SEGUNDO_SEMESTRE_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,Vacantes Segundo Semestre,EXACTO_NORMALIZADO,1.0,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL
FECHA_ADMISION_INICIAL,FECHA_ADMISION_INICIAL,71,71,0,100.0,1,REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
MALLA_CURRICULAR,MALLA_CURRICULAR,71,71,0,100.0,1,REVISAR_MALLA_CURRICULAR_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,Malla Curricular,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
PERFIL_EGRESO,PERFIL_EGRESO,71,71,0,100.0,1,REVISAR_PERFIL_EGRESO_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
TEXTO_REQUISITO_INGRESO,TEXTO_REQUISITO_INGRESO,71,71,0,100.0,1,REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE,True,CANDIDATO_CARGA_LIMPIO,Requisito ingreso,CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
