HOJA;N_COL;COLUMNA;FILAS;VACIOS;UNICOS;EJEMPLOS
PROGRAMAS_FALTANTES_PARA_CREAR;16;MOTIVO_ESTADO_CRUCE;71;0;1;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte
PROGRAMAS_FALTANTES_PARA_CREAR;17;FUENTE;71;0;1;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz
PROGRAMAS_FALTANTES_PARA_CREAR;18;REVISADO_MANUALMENTE;71;0;1;NO
PROGRAMAS_FALTANTES_PARA_CREAR;19;OBSERVACION_AUDITORIA;71;0;1;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
PROGRAMAS_FALTANTES_PARA_CREAR;20;Sede;71;0;2;Santiago | Concepción
PROGRAMAS_FALTANTES_PARA_CREAR;21;Tipo de Carrera;71;0;3;Diplomado | Técnico Nivel Superior | Profesional
PROGRAMAS_FALTANTES_PARA_CREAR;22;Nombre;71;0;51;DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD
PROGRAMAS_FALTANTES_PARA_CREAR;23;Mención o Especialidad;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;24;Año de inicio de Actividades;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;25;Campus;71;0;2;República | REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;26;Horario;71;0;4;Otro | Diurno | Vespertino | REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;27;Estado;71;0;1;Programa o Carrera Nueva(o)
PROGRAMAS_FALTANTES_PARA_CREAR;28;Tipo Programa;71;0;2;Programa Regular | Programa Especial
PROGRAMAS_FALTANTES_PARA_CREAR;29;Detalle del Tipo de Programa (especiales);71;0;2;No aplica | REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;30;Modalidad del Programa;71;0;3;No presencial | Presencial | REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;31;Área del Conocimiento;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;32;Sub Área;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;33;Carrera Genérica;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;34;Título que otorga el programa;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;35;Grado Académico que otorga el programa;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;36;Dependencia;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;37;Régimen;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;38;Duración del programa en Semestres;71;0;6;1 | 5 | 8 | 4 | 6
PROGRAMAS_FALTANTES_PARA_CREAR;39;Ingreso Directo;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;40;Ingreso desde un plan Común;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;41;Ingreso desde Bachillerato;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;42;Otro Tipo de Ingreso;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;43;Ingreso otro;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;44;Observaciones;71;0;1;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
PROGRAMAS_FALTANTES_PARA_CREAR;45;ANIO_INICIO;71;11;10;2025 | 2013 | 2026 |  | 1992
PROGRAMAS_FALTANTES_PARA_CREAR;46;REGIMEN;71;11;3;1 | 2 | 
PROGRAMAS_FALTANTES_PARA_CREAR;47;DURACION_REGIMEN;71;11;8;1 | 5 | 7 | 12 | 6
PROGRAMAS_FALTANTES_PARA_CREAR;48;NOMBRE_TITULO;71;11;46;DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD
PROGRAMAS_FALTANTES_PARA_CREAR;49;ACREDITACION;71;11;2;2 | 
PROGRAMAS_FALTANTES_PARA_CREAR;50;REQUISITO_INGRESO;71;11;3;2 | 1 | 
PROGRAMAS_FALTANTES_PARA_CREAR;51;SEMESTRES_RECONOCIDOS;71;11;4;0 | 5 |  | 4
PROGRAMAS_FALTANTES_PARA_CREAR;52;AREA_ACTUAL;71;11;8;8 | 6 | 9 | 1 | 10
PROGRAMAS_FALTANTES_PARA_CREAR;53;AREA_ADMIN_DERECHO;71;11;3;0 | 1 | 
PROGRAMAS_FALTANTES_PARA_CREAR;54;AREA_AGRI_SILVI_PESCA_VET;71;11;2;0 | 
PROGRAMAS_FALTANTES_PARA_CREAR;55;AREA_ARTES_HUMANIDADES;71;11;2;0 | 
PROGRAMAS_FALTANTES_PARA_CREAR;56;AREA_CIENCIAS_NAT_MAT_ESTAD;71;11;3;0 |  | 1
PROGRAMAS_FALTANTES_PARA_CREAR;57;AREA_CS_SOCIAL_PERIODISMO_INFO;71;11;2;0 | 
PROGRAMAS_FALTANTES_PARA_CREAR;58;AREA_EDUCACION;71;11;2;0 | 
PROGRAMAS_FALTANTES_PARA_CREAR;59;AREA_INGE_INDUSTRIA_CONSTRUC;71;11;2;0 | 
PROGRAMAS_FALTANTES_PARA_CREAR;60;AREA_SALUD_BIENESTAR;71;11;3;0 | 1 | 
PROGRAMAS_FALTANTES_PARA_CREAR;61;AREA_SERVICIOS;71;11;3;0 | 1 | 
PROGRAMAS_FALTANTES_PARA_CREAR;62;AREA_TECNO_INFO_COMUNICA;71;11;3;0 | 1 | 
PROGRAMAS_FALTANTES_PARA_CREAR;63;VACANTES_PRIMER_SEMESTRE;71;11;14;25 | 0 | 45 | 5 | 55
PROGRAMAS_FALTANTES_PARA_CREAR;64;VACANTES_SEGUNDO_SEMESTRE;71;11;3;25 | 0 | 
PROGRAMAS_FALTANTES_PARA_CREAR;65;FECHA_ADMISION_INICIAL;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;66;MALLA_CURRICULAR;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;67;PERFIL_EGRESO;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;68;TEXTO_REQUISITO_INGRESO;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;69;LICENCIA_ENS_MEDIA;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;70;NOTAS_ENS_MEDIA;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;71;PROMEDIO_MIN_ENS_MEDIA;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;72;RECONOCIMIENTOS_APREN_PREVIOS;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;73;EXPERIENCIA_LABORAL;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;74;OTROS_REQUISITOS;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;75;MAIL_DIFUSION_CARRERA;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;76;FORMATO_VALOR;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;77;VALOR_MATRICULA_ANUAL;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;78;COSTO_TITULACION;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;79;VALOR_CERTIFICADO_DIPLOMA;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;80;ARANCEL_ANUAL;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;81;VIGENCIA_CARRERA;71;0;1;REVISAR
PROGRAMAS_FALTANTES_PARA_CREAR;82;MATCH_STATUS;71;0;2;MATCH_UNICO | SIN_MATCH
PROGRAMAS_FALTANTES_PARA_CREAR;83;MATCH_METHOD;71;0;2;P1_CODIGO_UNICO_EXACTO | SIN_MATCH
PROGRAMAS_FALTANTES_PARA_CREAR;84;MATCH_KEY;71;0;66;I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1
PROGRAMAS_FALTANTES_PARA_CREAR;85;MATCH_COUNT;71;0;2;1 | 0
PROGRAMAS_FALTANTES_PARA_CREAR;86;MATCH_CODIGO_UNICO_DERIVADO;71;11;61;I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1
NO_CREAR_CUBIERTO;1;CODIGO_IES_NUM;2;0;1;162
NO_CREAR_CUBIERTO;2;CODIGO_UNICO;2;0;2;I162S2C3J1V1 | I162S2C3J2V1
NO_CREAR_CUBIERTO;3;NOMBRE_IES;2;0;1;IP SAN SEBASTIAN
NO_CREAR_CUBIERTO;4;COD_SEDE;2;0;1;2
NO_CREAR_CUBIERTO;5;NOMBRE_SEDE;2;0;1;CASA CENTRAL (SANTIAGO)
NO_CREAR_CUBIERTO;6;NOMBRE_CARRERA;2;0;1;INGENIERIA EN CONECTIVIDAD Y REDES
NO_CREAR_CUBIERTO;7;MODALIDAD;2;0;1;1
NO_CREAR_CUBIERTO;8;JORNADA;2;0;2;1 | 2
NO_CREAR_CUBIERTO;9;TIPO_PLAN_CARRERA;2;0;1;1
NO_CREAR_CUBIERTO;10;CARACT_PLAN_ESPECIAL;2;0;1;NO APLICA
NO_CREAR_CUBIERTO;11;DURACION_ESTUDIOS;2;0;1;8
NO_CREAR_CUBIERTO;12;DURACION_TITULACION;2;0;1;0
NO_CREAR_CUBIERTO;13;DURACION_TOTAL;2;0;1;8
NO_CREAR_CUBIERTO;14;COMUNA_SEDE;2;0;1;SANTIAGO
NO_CREAR_CUBIERTO;15;PROVINCIA_SEDE;2;0;1;SANTIAGO
NO_CREAR_CUBIERTO;16;REGION_SEDE;2;0;1;Metropolitana
NO_CREAR_CUBIERTO;17;NIVEL_GLOBAL;2;0;1;1
NO_CREAR_CUBIERTO;18;NIVEL_CARRERA;2;0;1;2
NO_CREAR_CUBIERTO;19;VIGENCIA;2;0;1;1
NO_CREAR_CUBIERTO;20;CODIGO_UNICO_FORMATO_VALIDO;2;0;1;SI
NO_CREAR_CUBIERTO;21;CODIGO_IES_DERIVADO;2;0;1;162
NO_CREAR_CUBIERTO;22;COD_SEDE_DERIVADO;2;0;1;2
NO_CREAR_CUBIERTO;23;COD_CARRERA_DERIVADO;2;0;1;3
NO_CREAR_CUBIERTO;24;JORNADA_DERIVADA;2;0;2;1 | 2
NO_CREAR_CUBIERTO;25;VERSION_DERIVADA;2;0;1;1
NO_CREAR_CUBIERTO;26;NOMBRE_CARRERA_NORMALIZADO;2;0;1;INGENIERIA EN CONECTIVIDAD Y REDES
NO_CREAR_CUBIERTO;27;NOMBRE_SEDE_NORMALIZADO;2;0;1;CASA CENTRAL SANTIAGO
NO_CREAR_CUBIERTO;28;FUENTE_ARCHIVO;2;0;1;input/PROMEDIOSDEALUMNOS_7804.xlsx
NO_CREAR_CUBIERTO;29;FUENTE_HOJA;2;0;1;matriz
NO_CREAR_CUBIERTO;30;VALIDACION_COD_SEDE;2;0;1;OK
NO_CREAR_CUBIERTO;31;CLAVE_AUXILIAR_NOMBRE_SEDE_JORNADA;2;0;2;INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|1 | INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|2
NO_CREAR_CUBIERTO;32;CLAVE_AUXILIAR_ESTRUCTURAL;2;0;2;INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|1|1|1|8|1|2 | INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|1|2|1|8|1|2
NO_CREAR_CUBIERTO;33;ES_VIGENTE;2;0;1;SI
NO_CREAR_CUBIERTO;34;ES_PREGRADO;2;0;1;SI
NO_CREAR_CUBIERTO;35;ES_POSGRADO_POSTITULO_DIPLOMADO;2;0;1;NO
NO_CREAR_CUBIERTO;36;ES_DIPLOMADO;2;0;1;NO
NO_CREAR_CUBIERTO;37;ES_TECNICO;2;0;1;NO
NO_CREAR_CUBIERTO;38;ES_PROFESIONAL;2;0;1;SI
NO_CREAR_CUBIERTO;39;ES_PROGRAMA_ESPECIAL;2;0;1;NO
NO_CREAR_CUBIERTO;40;ES_PROGRAMA_REGULAR;2;0;1;SI
NO_CREAR_CUBIERTO;41;ALCANCE_INDICES_CREAR_PROGRAMA;2;0;1;SI
NO_CREAR_CUBIERTO;42;MOTIVO_ALCANCE;2;0;1;VIGENTE_EN_MATRIZ
NO_CREAR_CUBIERTO;43;NIVEL_BUCKET;2;0;1;PREGRADO
NO_CREAR_CUBIERTO;44;TIPO_CARRERA_FORM;2;0;1;Profesional
NO_CREAR_CUBIERTO;45;HORARIO_FORM;2;0;2;Diurno | Vespertino
NO_CREAR_CUBIERTO;46;MODALIDAD_FORM;2;0;1;Presencial
NO_CREAR_CUBIERTO;47;TIPO_PROGRAMA_FORM;2;0;1;Programa Regular
NO_CREAR_CUBIERTO;48;SEDE_PLATAFORMA;2;0;1;Santiago
NO_CREAR_CUBIERTO;49;SEDE_PLATAFORMA_NORMALIZADA;2;0;1;SANTIAGO
NO_CREAR_CUBIERTO;50;ESTADO_CRUCE_INDICES;2;0;1;DUDOSO_REVISAR_MANUAL
NO_CREAR_CUBIERTO;51;MOTIVO_ESTADO_CRUCE;2;0;1;Coincidencia auxiliar fuerte sin coincidencia exacta por CODIGO_UNICO
NO_CREAR_CUBIERTO;52;CODIGO_UNICO_MATCH;2;0;2;I162S2C3J1V2 | I162S2C3J2V4
NO_CREAR_CUBIERTO;53;TIPO_MATCH;2;0;1;AUXILIAR_FUERTE
NO_CREAR_CUBIERTO;54;CONFIANZA_MATCH;2;0;1;ALTA
NO_CREAR_CUBIERTO;55;OBSERVACION_AUDITORIA;2;0;2;"Coincidencias auxiliares=1; Cod.Carr. existente=['6679']; Codigo SIES existente=['I162S2C3J1V2'] | Coincidencias auxiliares=1; Cod.Carr. existente=['6680']; Codigo SIES existente=['I162S2C3J2V4']"
NO_CREAR_CUBIERTO;56;REQUIERE_CREACION_MANUAL;2;0;1;NO
NO_CREAR_CUBIERTO;57;DICTAMEN_RECOMENDADO;2;0;1;NO_CREAR_YA_CUBIERTO_POR_VERSION_POSTERIOR
NO_CREAR_CUBIERTO;58;ACCION_EXCEL;2;0;1;crear hoja NO_CREAR_CUBIERTO
NO_CREAR_CUBIERTO;59;MOTIVO_DICTAMEN;2;0;2;"Existe version posterior estructural I162S2C3J1V2 con mismo nombre, sede, jornada, modalidad, tipo plan, duracion, nivel global y nivel carrera; ademas dicha version posterior aparece en la referencia CNED/INDICES. | Existe version posterior estructural I162S2C3J2V4 con mismo nombre, sede, jornada, modalidad, tipo plan, duracion, nivel global y nivel carrera; ademas dicha version posterior aparece en la referencia CNED/INDICES."
NO_CREAR_CUBIERTO;60;REQUIERE_DECISION_INSTITUCIONAL;2;0;1;NO
NO_CREAR_CUBIERTO;61;FUENTE_RESOLUCION;2;0;1;/Users/alexi/Documents/GitHub/avance_curricular/indices_2025/cned/resultados/CNED_RESOLUCION_DUDOSOS_4_CASOS_20260604_084306.xlsx
NO_CREAR_CUBIERTO;62;FECHA_RESOLUCION;2;0;1;2026-06-04 09:15:47 -04
REQUIERE_DECISION_INSTITUCIONAL;1;CODIGO_IES_NUM;2;0;1;162
REQUIERE_DECISION_INSTITUCIONAL;2;CODIGO_UNICO;2;0;2;I162S2C1J4V1 | I162S2C3J4V1
REQUIERE_DECISION_INSTITUCIONAL;3;NOMBRE_IES;2;0;1;IP CIISA
REQUIERE_DECISION_INSTITUCIONAL;4;COD_SEDE;2;0;1;2
REQUIERE_DECISION_INSTITUCIONAL;5;NOMBRE_SEDE;2;0;1;CASA CENTRAL (SANTIAGO)
REQUIERE_DECISION_INSTITUCIONAL;6;NOMBRE_CARRERA;2;0;2;INGENIERIA EN INFORMATICA | INGENIERIA EN CONECTIVIDAD Y REDES
REQUIERE_DECISION_INSTITUCIONAL;7;MODALIDAD;2;0;1;3
REQUIERE_DECISION_INSTITUCIONAL;8;JORNADA;2;0;1;4
REQUIERE_DECISION_INSTITUCIONAL;9;TIPO_PLAN_CARRERA;2;0;1;1
REQUIERE_DECISION_INSTITUCIONAL;10;CARACT_PLAN_ESPECIAL;2;0;1;NO APLICA
REQUIERE_DECISION_INSTITUCIONAL;11;DURACION_ESTUDIOS;2;0;1;8
REQUIERE_DECISION_INSTITUCIONAL;12;DURACION_TITULACION;2;0;1;0
REQUIERE_DECISION_INSTITUCIONAL;13;DURACION_TOTAL;2;0;1;8
REQUIERE_DECISION_INSTITUCIONAL;14;COMUNA_SEDE;2;0;1;SANTIAGO
REQUIERE_DECISION_INSTITUCIONAL;15;PROVINCIA_SEDE;2;0;1;SANTIAGO
REQUIERE_DECISION_INSTITUCIONAL;16;REGION_SEDE;2;0;1;Metropolitana
REQUIERE_DECISION_INSTITUCIONAL;17;NIVEL_GLOBAL;2;0;1;1
REQUIERE_DECISION_INSTITUCIONAL;18;NIVEL_CARRERA;2;0;1;2
REQUIERE_DECISION_INSTITUCIONAL;19;VIGENCIA;2;0;1;1
REQUIERE_DECISION_INSTITUCIONAL;20;CODIGO_UNICO_FORMATO_VALIDO;2;0;1;SI
REQUIERE_DECISION_INSTITUCIONAL;21;CODIGO_IES_DERIVADO;2;0;1;162
REQUIERE_DECISION_INSTITUCIONAL;22;COD_SEDE_DERIVADO;2;0;1;2
REQUIERE_DECISION_INSTITUCIONAL;23;COD_CARRERA_DERIVADO;2;0;2;1 | 3
REQUIERE_DECISION_INSTITUCIONAL;24;JORNADA_DERIVADA;2;0;1;4
REQUIERE_DECISION_INSTITUCIONAL;25;VERSION_DERIVADA;2;0;1;1
REQUIERE_DECISION_INSTITUCIONAL;26;NOMBRE_CARRERA_NORMALIZADO;2;0;2;INGENIERIA EN INFORMATICA | INGENIERIA EN CONECTIVIDAD Y REDES
REQUIERE_DECISION_INSTITUCIONAL;27;NOMBRE_SEDE_NORMALIZADO;2;0;1;CASA CENTRAL SANTIAGO
REQUIERE_DECISION_INSTITUCIONAL;28;FUENTE_ARCHIVO;2;0;1;input/PROMEDIOSDEALUMNOS_7804.xlsx
REQUIERE_DECISION_INSTITUCIONAL;29;FUENTE_HOJA;2;0;1;matriz
REQUIERE_DECISION_INSTITUCIONAL;30;VALIDACION_COD_SEDE;2;0;1;OK
REQUIERE_DECISION_INSTITUCIONAL;31;CLAVE_AUXILIAR_NOMBRE_SEDE_JORNADA;2;0;2;INGENIERIA EN INFORMATICA|CASA CENTRAL SANTIAGO|4 | INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|4
REQUIERE_DECISION_INSTITUCIONAL;32;CLAVE_AUXILIAR_ESTRUCTURAL;2;0;2;INGENIERIA EN INFORMATICA|CASA CENTRAL SANTIAGO|3|4|1|8|1|2 | INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|3|4|1|8|1|2
REQUIERE_DECISION_INSTITUCIONAL;33;ES_VIGENTE;2;0;1;SI
REQUIERE_DECISION_INSTITUCIONAL;34;ES_PREGRADO;2;0;1;SI
REQUIERE_DECISION_INSTITUCIONAL;35;ES_POSGRADO_POSTITULO_DIPLOMADO;2;0;1;NO
REQUIERE_DECISION_INSTITUCIONAL;36;ES_DIPLOMADO;2;0;1;NO
REQUIERE_DECISION_INSTITUCIONAL;37;ES_TECNICO;2;0;1;NO
REQUIERE_DECISION_INSTITUCIONAL;38;ES_PROFESIONAL;2;0;1;SI
REQUIERE_DECISION_INSTITUCIONAL;39;ES_PROGRAMA_ESPECIAL;2;0;1;NO
REQUIERE_DECISION_INSTITUCIONAL;40;ES_PROGRAMA_REGULAR;2;0;1;SI
REQUIERE_DECISION_INSTITUCIONAL;41;ALCANCE_INDICES_CREAR_PROGRAMA;2;0;1;SI
REQUIERE_DECISION_INSTITUCIONAL;42;MOTIVO_ALCANCE;2;0;1;VIGENTE_EN_MATRIZ
REQUIERE_DECISION_INSTITUCIONAL;43;NIVEL_BUCKET;2;0;1;PREGRADO
REQUIERE_DECISION_INSTITUCIONAL;44;TIPO_CARRERA_FORM;2;0;1;Profesional
REQUIERE_DECISION_INSTITUCIONAL;45;HORARIO_FORM;2;0;1;Otro
REQUIERE_DECISION_INSTITUCIONAL;46;MODALIDAD_FORM;2;0;1;No presencial
REQUIERE_DECISION_INSTITUCIONAL;47;TIPO_PROGRAMA_FORM;2;0;1;Programa Regular
REQUIERE_DECISION_INSTITUCIONAL;48;SEDE_PLATAFORMA;2;0;1;Santiago
REQUIERE_DECISION_INSTITUCIONAL;49;SEDE_PLATAFORMA_NORMALIZADA;2;0;1;SANTIAGO
REQUIERE_DECISION_INSTITUCIONAL;50;ESTADO_CRUCE_INDICES;2;0;1;DUDOSO_REVISAR_MANUAL
REQUIERE_DECISION_INSTITUCIONAL;51;MOTIVO_ESTADO_CRUCE;2;0;1;Coincidencia auxiliar fuerte sin coincidencia exacta por CODIGO_UNICO
REQUIERE_DECISION_INSTITUCIONAL;52;CODIGO_UNICO_MATCH;2;0;2;I162S2C46J4V2 | I162S2C3J4V2
REQUIERE_DECISION_INSTITUCIONAL;53;TIPO_MATCH;2;0;1;AUXILIAR_FUERTE
REQUIERE_DECISION_INSTITUCIONAL;54;CONFIANZA_MATCH;2;0;1;ALTA
REQUIERE_DECISION_INSTITUCIONAL;55;OBSERVACION_AUDITORIA;2;0;2;"Coincidencias auxiliares=1; Cod.Carr. existente=['38817']; Codigo SIES existente=['I162S2C46J4V2'] | Coincidencias auxiliares=1; Cod.Carr. existente=['38816']; Codigo SIES existente=['I162S2C3J4V2']"
REQUIERE_DECISION_INSTITUCIONAL;56;REQUIERE_CREACION_MANUAL;2;0;1;NO
REQUIERE_DECISION_INSTITUCIONAL;57;DICTAMEN_RECOMENDADO;2;0;1;MANTENER_EN_DUDOSOS_REVISAR_MANUAL
REQUIERE_DECISION_INSTITUCIONAL;58;ACCION_EXCEL;2;0;1;crear hoja REQUIERE_DECISION_INSTITUCIONAL
REQUIERE_DECISION_INSTITUCIONAL;59;MOTIVO_DICTAMEN;2;0;2;Registro vigente de IP CIISA con version posterior estructural I162S2C1J4V2 bajo IP SAN SEBASTIAN. La cobertura historica no debe decidirse automaticamente dentro del universo actual de IP SAN SEBASTIAN. La referencia contiene I162S2C1J4V2 pero con descripcion 'Ingeniería en Informática (P.E.)' y tipo 'Programa Especial', mientras matriz lo documenta como 'INGENIERIA EN INFORMATICA' y tipo 'Programa Regular'. | Registro vigente de IP CIISA con version posterior estructural I162S2C3J4V2 bajo IP SAN SEBASTIAN. La cobertura historica no debe decidirse automaticamente dentro del universo actual de IP SAN SEBASTIAN.
REQUIERE_DECISION_INSTITUCIONAL;60;REQUIERE_DECISION_INSTITUCIONAL;2;0;1;SI
REQUIERE_DECISION_INSTITUCIONAL;61;FUENTE_RESOLUCION;2;0;1;/Users/alexi/Documents/GitHub/avance_curricular/indices_2025/cned/resultados/CNED_RESOLUCION_DUDOSOS_4_CASOS_20260604_084306.xlsx
REQUIERE_DECISION_INSTITUCIONAL;62;FECHA_RESOLUCION;2;0;1;2026-06-04 09:15:47 -04
DUDOSOS_REV_MANUAL_RESUELTOS;1;CODIGO_IES_NUM;4;0;1;162
DUDOSOS_REV_MANUAL_RESUELTOS;2;CODIGO_UNICO;4;0;4;I162S2C1J4V1 | I162S2C3J1V1 | I162S2C3J2V1 | I162S2C3J4V1
DUDOSOS_REV_MANUAL_RESUELTOS;3;NOMBRE_IES;4;0;2;IP CIISA | IP SAN SEBASTIAN
DUDOSOS_REV_MANUAL_RESUELTOS;4;COD_SEDE;4;0;1;2
DUDOSOS_REV_MANUAL_RESUELTOS;5;NOMBRE_SEDE;4;0;1;CASA CENTRAL (SANTIAGO)
