NUM_COLUMNA,COLUMNA,FILAS,VACIOS,REVISAR_GENERICO,REVISIONES_ESPECIFICAS,CONFLICTOS,VALORES_UNICOS,EJEMPLOS,ESTADO,SECCION,FILA_EXCEL_APROX,CODIGO_UNICO,VALOR,TIPO,VALOR_ACTUAL,VALOR_ESPERADO,STATUS
11.0,CARACT_PLAN_ESPECIAL_ORIGINAL,71.0,0.0,0.0,0.0,0.0,1.0,NO APLICA,OK,AUDITORIA_COLUMNAS,,,,,,,
12.0,NIVEL_GLOBAL,71.0,0.0,0.0,0.0,0.0,2.0,3 | 1,OK,AUDITORIA_COLUMNAS,,,,,,,
13.0,NIVEL_CARRERA,71.0,0.0,0.0,0.0,0.0,3.0,5 | 1 | 2,OK,AUDITORIA_COLUMNAS,,,,,,,
14.0,VIGENCIA,71.0,0.0,0.0,0.0,0.0,1.0,1,OK,AUDITORIA_COLUMNAS,,,,,,,
15.0,ESTADO_CRUCE_INDICES,71.0,0.0,0.0,0.0,0.0,1.0,FALTA_CREAR_EN_INDICES,OK,AUDITORIA_COLUMNAS,,,,,,,
16.0,MOTIVO_ESTADO_CRUCE,71.0,0.0,0.0,0.0,0.0,1.0,No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte,OK,AUDITORIA_COLUMNAS,,,,,,,
17.0,FUENTE,71.0,0.0,0.0,0.0,0.0,1.0,PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz,OK,AUDITORIA_COLUMNAS,,,,,,,
18.0,REVISADO_MANUALMENTE,71.0,0.0,0.0,0.0,0.0,1.0,NO,OK,AUDITORIA_COLUMNAS,,,,,,,
19.0,OBSERVACION_AUDITORIA,71.0,0.0,0.0,0.0,0.0,1.0,Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.,OK,AUDITORIA_COLUMNAS,,,,,,,
20.0,Sede,71.0,0.0,0.0,0.0,0.0,2.0,Santiago | Concepción,OK,AUDITORIA_COLUMNAS,,,,,,,
21.0,Tipo de Carrera,71.0,0.0,0.0,0.0,0.0,3.0,Diplomado | Técnico Nivel Superior | Profesional,OK,AUDITORIA_COLUMNAS,,,,,,,
22.0,Nombre,71.0,0.0,0.0,0.0,0.0,51.0,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERIA EN FINANZAS | INGENIERIA EN MARKETING DIGITAL,OK,AUDITORIA_COLUMNAS,,,,,,,
23.0,Mención o Especialidad,71.0,0.0,0.0,0.0,0.0,1.0,No aplica,OK,AUDITORIA_COLUMNAS,,,,,,,
24.0,Año de inicio de Actividades,71.0,0.0,0.0,10.0,0.0,10.0,2025 | 2013 | 2026 | DECISION_MANUAL_ANIO_INICIO | 1992 | 2019 | 2017 | 2023,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
25.0,Campus,71.0,0.0,0.0,3.0,0.0,2.0,República | REVISAR_SEDE_CONCEPCION,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
26.0,Horario,71.0,0.0,0.0,1.0,0.0,4.0,Otro | Diurno | Vespertino | REVISAR_HORARIO_3,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
27.0,Estado,71.0,0.0,0.0,0.0,0.0,1.0,Programa o Carrera Nueva(o),OK,AUDITORIA_COLUMNAS,,,,,,,
28.0,Tipo Programa,71.0,0.0,0.0,0.0,0.0,2.0,Programa Regular | Programa Especial,OK,AUDITORIA_COLUMNAS,,,,,,,
29.0,Detalle del Tipo de Programa (especiales),71.0,0.0,0.0,14.0,0.0,2.0,No aplica | REVISAR_DETALLE_PROGRAMA_ESPECIAL,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
30.0,Modalidad del Programa,71.0,0.0,0.0,2.0,0.0,3.0,No presencial | Presencial | REVISAR_MODALIDAD_2,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
31.0,Área del Conocimiento,71.0,0.0,0.0,71.0,0.0,9.0,REVISAR_AREA_CODIGO_8 | REVISAR_AREA_CODIGO_6 | REVISAR_AREA_CODIGO_9 | REVISAR_AREA_CODIGO_1 | REVISAR_AREA_CODIGO_10 | REVISAR_AREA_SIN_FUENTE_DIRECTA | REVISAR_AREA_CONOCIMIENTO_10 | REVISAR_AREA_CODIGO_7,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
32.0,Sub Área,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
33.0,Carrera Genérica,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
34.0,Título que otorga el programa,71.0,0.0,0.0,10.0,0.0,47.0,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERO EN FINANZAS | INGENIERO EN MARKETING DIGITAL,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
35.0,Grado Académico que otorga el programa,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
36.0,Dependencia,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
37.0,Régimen,71.0,0.0,0.0,71.0,0.0,4.0,REVISAR_REGIMEN_CODIGO_1 | REVISAR_REGIMEN_CODIGO_2 | REVISAR_REGIMEN_SIN_FUENTE | REVISAR_REGIMEN_MATCH_AMBIGUO,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
38.0,Duración del programa en Semestres,71.0,0.0,0.0,0.0,0.0,6.0,1 | 5 | 8 | 4 | 6 | 2,OK,AUDITORIA_COLUMNAS,,,,,,,
39.0,Ingreso Directo,71.0,0.0,0.0,71.0,0.0,6.0,REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2 | REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_1 | REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_5 | REVISAR_INGRESO_DIRECTO_SIN_FUENTE_DIRECTA | REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_4 | REVISAR_INGRESO_DIRECTO_MATCH_AMBIGUO,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
40.0,Ingreso desde un plan Común,71.0,0.0,0.0,0.0,0.0,1.0,NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN,OK,AUDITORIA_COLUMNAS,,,,,,,
41.0,Ingreso desde Bachillerato,71.0,0.0,0.0,0.0,0.0,1.0,NO_APLICA_SIN_EVIDENCIA_BACHILLERATO,OK,AUDITORIA_COLUMNAS,,,,,,,
42.0,Otro Tipo de Ingreso,71.0,0.0,0.0,35.0,0.0,5.0,REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2 | NO_APLICA_SIN_EVIDENCIA_OTRO_INGRESO | REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_5 | REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_4 | REVISAR_OTRO_TIPO_INGRESO_MATCH_AMBIGUO,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
43.0,Ingreso otro,71.0,0.0,0.0,35.0,0.0,3.0,REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE | NO APLICA | REVISAR_DESCRIPCION_OTRO_INGRESO_MATCH_AMBIGUO,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
44.0,Observaciones,71.0,0.0,0.0,0.0,0.0,3.0,Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica. | Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica; Requiere revisión por match no directo/ambiguo; no completar campos críticos por inferencia. Corrección quirúrgica: 15 campos completados por unanimidad de candidatos de la familia I162S2C3J2; 5 campos quedan como conflicto real por valores divergentes. | Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica; Revisión por alternativa estructural no exacta: I162S2C6J4V2.,OK,AUDITORIA_COLUMNAS,,,,,,,
45.0,ANIO_INICIO,71.0,0.0,0.0,10.0,1.0,11.0,2025 | 2013 | 2026 | REVISAR_ANIO_INICIO_SIN_FUENTE | 1992 | 2019 | CONFLICTO_REVISAR_ANIO_INICIO_VERSIONES_MULTIPLES_2002_2017_2019 | 2017,CONFLICTO_CONTROLADO,AUDITORIA_COLUMNAS,,,,,,,
46.0,REGIMEN,71.0,0.0,0.0,10.0,0.0,3.0,1 | 2 | REVISAR_REGIMEN_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
47.0,DURACION_REGIMEN,71.0,0.0,0.0,10.0,1.0,9.0,1 | 5 | 7 | 12 | 6 | REVISAR_DURACION_REGIMEN_SIN_FUENTE | 4 | CONFLICTO_REVISAR_DURACION_REGIMEN_VERSIONES_MULTIPLES_4_8,CONFLICTO_CONTROLADO,AUDITORIA_COLUMNAS,,,,,,,
48.0,NOMBRE_TITULO,71.0,0.0,0.0,10.0,0.0,47.0,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERO EN FINANZAS | INGENIERO EN MARKETING DIGITAL,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
49.0,ACREDITACION,71.0,0.0,0.0,10.0,0.0,2.0,2 | REVISAR_ACREDITACION_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
50.0,REQUISITO_INGRESO,71.0,0.0,0.0,10.0,1.0,4.0,2 | 1 | REVISAR_REQUISITO_INGRESO_SIN_FUENTE | CONFLICTO_REVISAR_REQUISITO_INGRESO_VERSIONES_MULTIPLES_1_2,CONFLICTO_CONTROLADO,AUDITORIA_COLUMNAS,,,,,,,
51.0,SEMESTRES_RECONOCIDOS,71.0,0.0,0.0,10.0,1.0,5.0,0 | 5 | REVISAR_SEMESTRES_RECONOCIDOS_SIN_FUENTE | 4 | CONFLICTO_REVISAR_SEMESTRES_RECONOCIDOS_VERSIONES_MULTIPLES_0_4,CONFLICTO_CONTROLADO,AUDITORIA_COLUMNAS,,,,,,,
52.0,AREA_ACTUAL,71.0,0.0,0.0,10.0,0.0,8.0,8 | 6 | 9 | 1 | 10 | REVISAR_AREA_ACTUAL_SIN_FUENTE | 7 | 4,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
53.0,AREA_ADMIN_DERECHO,71.0,0.0,0.0,10.0,0.0,3.0,0 | 1 | REVISAR_AREA_ADMIN_DERECHO_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
54.0,AREA_AGRI_SILVI_PESCA_VET,71.0,0.0,0.0,10.0,0.0,2.0,0 | REVISAR_AREA_AGRI_SILVI_PESCA_VET_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
55.0,AREA_ARTES_HUMANIDADES,71.0,0.0,0.0,10.0,0.0,2.0,0 | REVISAR_AREA_ARTES_HUMANIDADES_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
56.0,AREA_CIENCIAS_NAT_MAT_ESTAD,71.0,0.0,0.0,10.0,0.0,3.0,0 | REVISAR_AREA_CIENCIAS_NAT_MAT_ESTAD_SIN_FUENTE | 1,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
57.0,AREA_CS_SOCIAL_PERIODISMO_INFO,71.0,0.0,0.0,10.0,0.0,2.0,0 | REVISAR_AREA_CS_SOCIAL_PERIODISMO_INFO_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
58.0,AREA_EDUCACION,71.0,0.0,0.0,10.0,0.0,2.0,0 | REVISAR_AREA_EDUCACION_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
59.0,AREA_INGE_INDUSTRIA_CONSTRUC,71.0,0.0,0.0,10.0,0.0,2.0,0 | REVISAR_AREA_INGE_INDUSTRIA_CONSTRUC_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
60.0,AREA_SALUD_BIENESTAR,71.0,0.0,0.0,10.0,0.0,3.0,0 | 1 | REVISAR_AREA_SALUD_BIENESTAR_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
61.0,AREA_SERVICIOS,71.0,0.0,0.0,10.0,0.0,3.0,0 | 1 | REVISAR_AREA_SERVICIOS_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
62.0,AREA_TECNO_INFO_COMUNICA,71.0,0.0,0.0,10.0,0.0,3.0,0 | 1 | REVISAR_AREA_TECNO_INFO_COMUNICA_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
63.0,VACANTES_PRIMER_SEMESTRE,71.0,0.0,0.0,10.0,1.0,15.0,25 | 0 | 45 | 5 | 55 | 90 | 30 | 60,CONFLICTO_CONTROLADO,AUDITORIA_COLUMNAS,,,,,,,
64.0,VACANTES_SEGUNDO_SEMESTRE,71.0,0.0,0.0,10.0,0.0,3.0,25 | 0 | REVISAR_VACANTES_SEGUNDO_SEMESTRE_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
65.0,FECHA_ADMISION_INICIAL,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
66.0,MALLA_CURRICULAR,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_MALLA_CURRICULAR_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
67.0,PERFIL_EGRESO,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_PERFIL_EGRESO_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
68.0,TEXTO_REQUISITO_INGRESO,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
69.0,LICENCIA_ENS_MEDIA,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
70.0,NOTAS_ENS_MEDIA,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
71.0,PROMEDIO_MIN_ENS_MEDIA,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
72.0,RECONOCIMIENTOS_APREN_PREVIOS,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
73.0,EXPERIENCIA_LABORAL,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
74.0,OTROS_REQUISITOS,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_OTROS_REQUISITOS_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
75.0,MAIL_DIFUSION_CARRERA,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
76.0,FORMATO_VALOR,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_FORMATO_VALOR_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
77.0,VALOR_MATRICULA_ANUAL,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
78.0,COSTO_TITULACION,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_COSTO_TITULACION_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
79.0,VALOR_CERTIFICADO_DIPLOMA,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
80.0,ARANCEL_ANUAL,71.0,0.0,0.0,71.0,0.0,1.0,REVISAR_ARANCEL_ANUAL_SIN_FUENTE,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
81.0,VIGENCIA_CARRERA,71.0,0.0,0.0,62.0,0.0,2.0,REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA | 1,REVISION_ESPECIFICA,AUDITORIA_COLUMNAS,,,,,,,
82.0,MATCH_STATUS,71.0,0.0,0.0,0.0,0.0,2.0,MATCH_UNICO | MATCH_AMBIGUO,OK,AUDITORIA_COLUMNAS,,,,,,,
83.0,MATCH_METHOD,71.0,0.0,0.0,0.0,0.0,3.0,MATCH_R1_CODIGO_UNICO_DERIVADO | MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL | MATCH_R3_ESTRUCTURAL_FUERTE,OK,AUDITORIA_COLUMNAS,,,,,,,
84.0,MATCH_KEY,71.0,0.0,0.0,0.0,0.0,71.0,I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1 | I162S2C10J1V1 | I162S2C10J4V1 | I162S2C111J4V1,OK,AUDITORIA_COLUMNAS,,,,,,,
85.0,MATCH_COUNT,71.0,0.0,0.0,0.0,0.0,2.0,1 | 3,OK,AUDITORIA_COLUMNAS,,,,,,,
86.0,MATCH_CODIGO_UNICO_DERIVADO,71.0,0.0,0.0,0.0,0.0,71.0,I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1 | I162S2C10J1V1 | I162S2C10J4V1 | I162S2C111J4V1,OK,AUDITORIA_COLUMNAS,,,,,,,
,Año de inicio de Actividades,,,,,,,,,CELDAS_PENDIENTES,25.0,I162S2C13J1V1,DECISION_MANUAL_ANIO_INICIO,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Año de inicio de Actividades,,,,,,,,,CELDAS_PENDIENTES,26.0,I162S2C13J2V1,DECISION_MANUAL_ANIO_INICIO,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Año de inicio de Actividades,,,,,,,,,CELDAS_PENDIENTES,29.0,I162S2C21J1V1,DECISION_MANUAL_ANIO_INICIO,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Año de inicio de Actividades,,,,,,,,,CELDAS_PENDIENTES,30.0,I162S2C21J2V1,DECISION_MANUAL_ANIO_INICIO,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Año de inicio de Actividades,,,,,,,,,CELDAS_PENDIENTES,31.0,I162S2C23J1V1,DECISION_MANUAL_ANIO_INICIO,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Año de inicio de Actividades,,,,,,,,,CELDAS_PENDIENTES,32.0,I162S2C23J2V1,DECISION_MANUAL_ANIO_INICIO,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Año de inicio de Actividades,,,,,,,,,CELDAS_PENDIENTES,33.0,I162S2C24J1V1,DECISION_MANUAL_ANIO_INICIO,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Año de inicio de Actividades,,,,,,,,,CELDAS_PENDIENTES,34.0,I162S2C24J2V1,DECISION_MANUAL_ANIO_INICIO,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Año de inicio de Actividades,,,,,,,,,CELDAS_PENDIENTES,41.0,I162S2C3J2V2,DECISION_MANUAL_ANIO_INICIO,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Año de inicio de Actividades,,,,,,,,,CELDAS_PENDIENTES,43.0,I162S2C41J2V1,DECISION_MANUAL_ANIO_INICIO,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Campus,,,,,,,,,CELDAS_PENDIENTES,70.0,I162S3C114J2V1,REVISAR_SEDE_CONCEPCION,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Campus,,,,,,,,,CELDAS_PENDIENTES,71.0,I162S3C115J2V1,REVISAR_SEDE_CONCEPCION,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Campus,,,,,,,,,CELDAS_PENDIENTES,72.0,I162S3C91J2V1,REVISAR_SEDE_CONCEPCION,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Horario,,,,,,,,,CELDAS_PENDIENTES,44.0,I162S2C53J3V1,REVISAR_HORARIO_3,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Detalle del Tipo de Programa (especiales),,,,,,,,,CELDAS_PENDIENTES,10.0,I162S2C111J4V2,REVISAR_DETALLE_PROGRAMA_ESPECIAL,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Detalle del Tipo de Programa (especiales),,,,,,,,,CELDAS_PENDIENTES,12.0,I162S2C112J4V2,REVISAR_DETALLE_PROGRAMA_ESPECIAL,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Detalle del Tipo de Programa (especiales),,,,,,,,,CELDAS_PENDIENTES,14.0,I162S2C113J4V2,REVISAR_DETALLE_PROGRAMA_ESPECIAL,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Detalle del Tipo de Programa (especiales),,,,,,,,,CELDAS_PENDIENTES,22.0,I162S2C124J4V2,REVISAR_DETALLE_PROGRAMA_ESPECIAL,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Detalle del Tipo de Programa (especiales),,,,,,,,,CELDAS_PENDIENTES,24.0,I162S2C125J4V2,REVISAR_DETALLE_PROGRAMA_ESPECIAL,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Detalle del Tipo de Programa (especiales),,,,,,,,,CELDAS_PENDIENTES,27.0,I162S2C1J2V2,REVISAR_DETALLE_PROGRAMA_ESPECIAL,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
,Detalle del Tipo de Programa (especiales),,,,,,,,,CELDAS_PENDIENTES,28.0,I162S2C1J4V3,REVISAR_DETALLE_PROGRAMA_ESPECIAL,REVISION_ESPECIFICA_O_DECISION_MANUAL,,,
