severidad;codigo;fila_excel;cod_sede;cod_carrera;nombre_carrera;campo;valor;mensaje
BLOQUEANTE;DUPLICADO_LLAVE;89;2;1;INGENIERIA EN INFORMATICA;LLAVE_COMPLETA;2|1|1|1|2;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;91;2;3;INGENIERIA EN CONECTIVIDAD Y REDES;LLAVE_COMPLETA;2|3|1|2|4;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;92;2;6;TECNICO EN CONECTIVIDAD Y REDES;LLAVE_COMPLETA;2|6|1|2|2;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;94;2;1;INGENIERIA EN INFORMATICA;LLAVE_COMPLETA;2|1|1|2|2;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;97;2;2;TECNICO EN PROGRAMACION COMPUTACIONAL;LLAVE_COMPLETA;2|2|1|1|1;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;98;2;2;TECNICO EN PROGRAMACION COMPUTACIONAL;LLAVE_COMPLETA;2|2|1|2|1;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;99;2;2;TECNICO EN PROGRAMACION COMPUTACIONAL;LLAVE_COMPLETA;2|2|3|4|1;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;100;2;35;TECNICO EN ANALISIS DE SISTEMAS;LLAVE_COMPLETA;2|35|1|1|1;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;101;2;35;TECNICO EN ANALISIS DE SISTEMAS;LLAVE_COMPLETA;2|35|1|2|1;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;102;2;35;TECNICO EN ANALISIS DE SISTEMAS;LLAVE_COMPLETA;2|35|3|4|1;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;103;2;3;INGENIERIA EN CONECTIVIDAD Y REDES;LLAVE_COMPLETA;2|3|1|1|1;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
BLOQUEANTE;DUPLICADO_LLAVE;104;2;6;TECNICO EN CONECTIVIDAD Y REDES;LLAVE_COMPLETA;2|6|1|1|1;Llave duplicada: COD_SEDE + COD_CARRERA + MODALIDAD + COD_JORNADA + VERSION.
