CODCARPR,TIPO_CARRERA,JORNADA_MAT,VERSION,CODIGO_SIES_FINAL,CONFIANZA,NOTAS,CODIGO_UNICO,NOMBRE_CARRERA,TIPO_PLAN_CARRERA,DURACION_ESTUDIOS,DURACION_TOTAL,MODALIDAD,JORNADA_OF,COD_SEDE,NOMBRE_SEDE,VIGENCIA,tp_esperado_src,tp_match,jornada_da_num,jornada_consistente
DIAR,DIPLOMADO EN INTELIGENCIA ARTIFICIAL,O,V1,I162S2C95J4V1,95%,Mapeo online,I162S2C95J4V1,DIPLOMADO EN INTELIGENCIA ARTIFICIAL,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
DICD,DIPLOMADO EN INFRAESTRUCTURA CLOUD,O,V1,I162S2C69J4V1,95%,Mapeo online,I162S2C69J4V1,DIPLOMADO INFRAESTRUCTURA CLOUD,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
DQAS,DIPLOMADO EN QUALITY ASSURANCE,O,V1,I162S2C67J4V1,95%,Mapeo online,I162S2C67J4V1,DIPLOMADO EN QUALITY ASSURANCE,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
DRID,DIPLOMADO EN REDES INDUSTRIALES,O,V1,I162S2C70J4V1,95%,Mapeo online,I162S2C70J4V1,DIPLOMADO REDES INDUSTRIALES,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
DSCM,DIPLOMADO EN SUPPLY CHAIN MANAGEMENT Y MINERIA DE REQUERIMIENTOS,O,V1,I162S2C97J4V1,95%,Mapeo online,I162S2C97J4V1,DIPLOMADO EN SUPPLY CHAIN MANAGEMENT Y MINERIA DE REQUERIMIENTOS,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
DSFA,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,O,V1,I162S2C101J4V1,95%,Mapeo online,I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
DSOF,DIPLOMADO EN SEGURIDAD OFENSIVA,O,V1,I162S2C68J4V1,95%,Mapeo online,I162S2C68J4V1,DIPLOMADO EN SEGURIDAD OFENSIVA,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IACI,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,D,V1,I162S2C22J2V1,100%,Mapeo oficial,I162S2C22J2V1,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
IACI,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,D,V2,I162S2C22J2V2,100%,Mapeo oficial,I162S2C22J2V2,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,1,False
IACI,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,O,V1,I162S2C22J4V1,95%,Mapeo online,I162S2C22J4V1,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IACI,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,O,V2,I162S2C22J4V2,95%,Mapeo online,I162S2C22J4V2,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,D,V1,I162S2C76J2V1,100%,Mapeo oficial,I162S2C76J2V1,INGENIERIA EN ADMINISTRACION DE EMPRESAS,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,V1,I162S2C76J4V1,95%,Mapeo online,I162S2C76J4V1,INGENIERIA EN ADMINISTRACION DE EMPRESAS,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,V2,I162S2C76J4V2,95%,Mapeo online,I162S2C76J4V2,INGENIERIA EN ADMINISTRACION DE EMPRESAS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,V,V1,I162S2C76J2V1,100%,Mapeo oficial,I162S2C76J2V1,INGENIERIA EN ADMINISTRACION DE EMPRESAS,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
ICDA,INGENIERIA EN CIENCIA DE DATOS,O,V1,I162S2C88J4V1,95%,Mapeo online,I162S2C88J4V1,INGENIERIA EN CIENCIA DE DATOS,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
ICDA,INGENIERIA EN CIENCIA DE DATOS,O,V2,I162S2C88J4V2,95%,Mapeo online,I162S2C88J4V2,INGENIERIA EN CIENCIA DE DATOS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
ICIB,INGENIERIA EN CIBERSEGURIDAD,D,V1,I162S2C46J1V1,100%,Mapeo oficial,I162S2C46J1V1,INGENIERIA EN CIBERSEGURIDAD,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
ICIB,INGENIERIA EN CIBERSEGURIDAD,D,V3,I162S2C46J2V3,100%,Mapeo oficial,I162S2C46J2V3,INGENIERIA EN CIBERSEGURIDAD,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,1,False
ICIB,INGENIERIA EN CIBERSEGURIDAD,O,V1,I162S2C46J4V1,95%,Mapeo online,I162S2C46J4V1,INGENIERIA EN CIBERSEGURIDAD,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
ICIB,INGENIERIA EN CIBERSEGURIDAD,O,V2,I162S2C46J4V2,95%,Mapeo online,I162S2C46J4V2,INGENIERIA EN CIBERSEGURIDAD,3,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
ICIB,INGENIERIA EN CIBERSEGURIDAD,O,V3,I162S2C46J4V3,95%,Mapeo online,I162S2C46J4V3,INGENIERIA EN CIBERSEGURIDAD,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
ICIB,INGENIERIA EN CIBERSEGURIDAD,V,V1,I162S2C46J2V1,100%,Mapeo oficial,I162S2C46J2V1,INGENIERIA EN CIBERSEGURIDAD,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
ICIB,INGENIERIA EN CIBERSEGURIDAD,V,V2,I162S2C46J2V2,100%,Mapeo oficial,I162S2C46J2V2,INGENIERIA EN CIBERSEGURIDAD,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,2,True
ICIB,INGENIERIA EN CIBERSEGURIDAD,V,V3,I162S2C46J2V3,100%,Mapeo oficial,I162S2C46J2V3,INGENIERIA EN CIBERSEGURIDAD,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,2,True
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V1,I162S2C3J2V1,100%,Mapeo oficial,I162S2C3J2V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V2,I162S2C3J1V2,100%,Mapeo oficial,I162S2C3J1V2,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V3,I162S2C3J2V3,100%,Mapeo oficial,I162S2C3J2V3,INGENIERIA EN CONECTIVIDAD Y REDES,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,1,False
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V4,I162S2C3J2V4,100%,Mapeo oficial,I162S2C3J2V4,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,O,V2,I162S2C3J4V2,95%,Mapeo online,I162S2C3J4V2,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,V1,I162S2C3J2V1,100%,Mapeo oficial,I162S2C3J2V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,V2,I162S2C3J2V2,100%,Mapeo oficial,I162S2C3J2V2,INGENIERIA EN CONECTIVIDAD Y REDES,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,2,True
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,V3,I162S2C3J2V3,100%,Mapeo oficial,I162S2C3J2V3,INGENIERIA EN CONECTIVIDAD Y REDES,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,2,True
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,V4,I162S2C3J2V4,100%,Mapeo oficial,I162S2C3J2V4,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
IECIRE,INGENIERIA EN INFORMATICA,D,V1,I162S2C1J1V1,100%,Mapeo oficial,I162S2C1J1V1,INGENIERIA EN INFORMATICA,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
IECIRE,INGENIERIA EN INFORMATICA,O,V1,I162S2C1J4V1,95%,Mapeo online,I162S2C1J4V1,INGENIERIA EN INFORMATICA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IECIRE,INGENIERIA EN INFORMATICA,V,V1,I162S2C1J2V1,100%,Mapeo oficial,I162S2C1J2V1,INGENIERIA EN INFORMATICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
IECIRE,INGENIERIA EN INFORMATICA,V,V4,I162S2C1J2V4,100%,Mapeo oficial,I162S2C1J2V4,INGENIERIA EN INFORMATICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
IECIREOL,INGENIERIA EN INFORMATICA,O,V1,I162S2C1J4V1,95%,Mapeo online,I162S2C1J4V1,INGENIERIA EN INFORMATICA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IECIREOL,INGENIERIA EN INFORMATICA,O,V2,I162S2C1J4V2,95%,Mapeo online,I162S2C1J4V2,INGENIERIA EN INFORMATICA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IECSRE,INGENIERIA EN CIBERSEGURIDAD,D,V1,I162S2C46J2V1,100%,Mapeo oficial,I162S2C46J2V1,INGENIERIA EN CIBERSEGURIDAD,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,V1,I162S2C46J2V1,100%,Mapeo oficial,I162S2C46J2V1,INGENIERIA EN CIBERSEGURIDAD,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,V2,I162S2C46J2V2,100%,Mapeo oficial,I162S2C46J2V2,INGENIERIA EN CIBERSEGURIDAD,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,2,True
IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,V3,I162S2C46J2V3,100%,Mapeo oficial,I162S2C46J2V3,INGENIERIA EN CIBERSEGURIDAD,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,2,True
IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,V1,I162S2C46J1V1,95%,Mapeo online,I162S2C46J1V1,INGENIERIA EN CIBERSEGURIDAD,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,4,False
IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,V2,I162S2C46J2V2,95%,Mapeo online,I162S2C46J2V2,INGENIERIA EN CIBERSEGURIDAD,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,4,False
IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,V3,I162S2C46J2V3,95%,Mapeo online,I162S2C46J2V3,INGENIERIA EN CIBERSEGURIDAD,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,4,False
IETMRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,V2,I162S2C3J2V2,100%,Mapeo oficial,I162S2C3J2V2,INGENIERIA EN CONECTIVIDAD Y REDES,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,2,True
IETMRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,V3,I162S2C3J2V3,100%,Mapeo oficial,I162S2C3J2V3,INGENIERIA EN CONECTIVIDAD Y REDES,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,2,True
IETMREOL,INGENIERIA EN CONECTIVIDAD Y REDES,O,V1,I162S2C3J4V1,95%,Mapeo online,I162S2C3J4V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IETMREOL,INGENIERIA EN CONECTIVIDAD Y REDES,O,V2,I162S2C3J4V2,95%,Mapeo online,I162S2C3J4V2,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IFIN,INGENIERIA EN FINANZAS,O,V1,I162S2C111J4V1,95%,Mapeo online,I162S2C111J4V1,INGENIERIA EN FINANZAS,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IFIN,INGENIERIA EN FINANZAS,O,V2,I162S2C111J4V2,95%,Mapeo online,I162S2C111J4V2,INGENIERIA EN FINANZAS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
IIND,INGENIERIA INDUSTRIAL,O,V1,I162S2C87J4V1,95%,Mapeo online,I162S2C87J4V1,INGENIERIA INDUSTRIAL,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
IIND,INGENIERIA INDUSTRIAL,O,V2,I162S2C87J4V2,95%,Mapeo online,I162S2C87J4V2,INGENIERIA INDUSTRIAL,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IINF,INGENIERIA EN INFORMATICA,D,V1,I162S2C1J2V1,100%,Mapeo oficial,I162S2C1J2V1,INGENIERIA EN INFORMATICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
IINF,INGENIERIA EN INFORMATICA,D,V2,I162S2C1J2V2,100%,Mapeo oficial,I162S2C1J2V2,INGENIERIA EN INFORMATICA,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,1,False
IINF,INGENIERIA EN INFORMATICA,D,V3,I162S2C1J2V3,100%,Mapeo oficial,I162S2C1J2V3,INGENIERIA EN INFORMATICA,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,1,False
IINF,INGENIERIA EN INFORMATICA,D,V4,I162S2C1J2V4,100%,Mapeo oficial,I162S2C1J2V4,INGENIERIA EN INFORMATICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
IINF,INGENIERIA EN INFORMATICA,O,V2,I162S2C1J4V2,95%,Mapeo online,I162S2C1J4V2,INGENIERIA EN INFORMATICA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IINF,INGENIERIA EN INFORMATICA,V,V1,I162S2C1J2V1,100%,Mapeo oficial,I162S2C1J2V1,INGENIERIA EN INFORMATICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
IINF,INGENIERIA EN INFORMATICA,V,V4,I162S2C1J2V4,100%,Mapeo oficial,I162S2C1J2V4,INGENIERIA EN INFORMATICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
ILOG,INGENIERIA EN LOGISTICA,D,V1,I162S2C77J1V1,100%,Mapeo oficial,I162S2C77J1V1,INGENIERIA EN LOGISTICA,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
ILOG,INGENIERIA EN LOGISTICA,O,V1,I162S2C77J4V1,95%,Mapeo online,I162S2C77J4V1,INGENIERIA EN LOGISTICA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
ILOG,INGENIERIA EN LOGISTICA,V,V1,I162S2C77J2V1,100%,Mapeo oficial,I162S2C77J2V1,INGENIERIA EN LOGISTICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
IMDI,INGENIERIA EN MARKETING DIGITAL,O,V1,I162S2C112J4V1,95%,Mapeo online,I162S2C112J4V1,INGENIERIA EN MARKETING DIGITAL,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IMDI,INGENIERIA EN MARKETING DIGITAL,O,V2,I162S2C112J4V2,95%,Mapeo online,I162S2C112J4V2,INGENIERIA EN MARKETING DIGITAL,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
