CODCLI	MOTIVO	ANIO	PERIODO	VIG
20261TCRE008	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCRE016	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCRE018	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TEIQ006	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TEIQ018	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TEIQ020	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TEIQ029	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TEIQ036	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TEIQ048	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TEIQ056	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TEIQ062	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TEIQ072	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TEIQ074	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS006	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS011	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS022	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS056	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS068	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS070	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS105	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS116	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS117	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS118	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS120	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS125	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS126	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS130	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS138	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS142	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS144	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS145	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS150	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS153	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS161	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS170	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS173	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS179	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS180	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS188	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS191	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS192	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS206	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS208	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TENS209	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFAR010	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFAR024	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFAR033	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFAR036	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFAR056	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFIN009	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFIN013	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFIN022	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFIN023	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFIN026	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFIN034	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFIN037	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TFIN038	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TICL002	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TICL006	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
