Sede	Comuna	Región	Orden Geográfico de Region	Cod.Carr.	Carrera Genérica	Nombre Programa	Mencion Especialidad	Horario	Tipo Programa	Área Conocimiento	Tipo Carrera	Ingreso Directo	Año Inicio Actividades	Campus	Duracion (en semestres)	Titulo	Grado Academico	Codigo SIES	Nivel Pregrado/Posgrado	Modalidad Programa	Especial	Facultad
Santiago	Santiago	Región Metropolitana	7	51504	Ingeniería en Administración, Administración de Empresas y similares	Ingeniería en Administración de Empresas		Vespertino	Programa Regular	Administración y Comercio	Profesional	Ingreso Directo	2024		8	Ingeniero en Administración de Empresas		I162S2C76J2V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	40711	Técnico en Análisis de Sistemas Informáticos	TNS en Ciberseguridad		Vespertino	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2019	República	5	Técnico Nivel Sup. en Ciberseguridad		I162S2C47J2V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	40714	Ingeniería en Computación e Informática y similares	Ingeniería en Ciberseguridad		Vespertino	Programa Regular	Tecnología	Profesional	Ingreso Directo	2019	República	8	Ingeniero en Ciberseguridad		I162S2C46J2V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	40712	Técnico en Automatización, Control automático y similares	TNS en Control Industrial		Otro	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2019	República	5	Técnico Nivel Sup. en Control Industrial		I162S2C48J4V1	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	42539	Ingeniería en Conectividad y Redes	Ingeniería en Conectividad y Redes (P.E.)		Otro	Programa Especial	Tecnología	Profesional	Ingreso Directo	2019	República	4	Ingeniero en Conectividad y Redes		I162S2C3J4V3	Pregrado	No presencial	Continuidad (o articulación) de estudios
Santiago	Santiago	Región Metropolitana	7	32513	Técnico en Automatización, Control automático y similares	TNS en Automatización y Control Industrial		Vespertino	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2015	República	5	Técnico Nivel Sup. en Automatización y Control Industrial		I162S2C11J2V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	32517	Técnico en Análisis de Sistemas Informáticos	TNS en Análisis de Sistemas		Diurno	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2015	República	6	Técnico Nivel Sup. en Análisis de Sistemas		I162S2C35J1V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	32516	Técnico en Análisis de Sistemas Informáticos	TNS Análisis de Sistemas		Vespertino	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2015	República	6	Técnico Nivel Sup. Análisis de Sistemas		I162S2C35J2V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	32514	Ingeniería en Computación e Informática y similares	Ingeniería en Informática		Vespertino	Programa Regular	Tecnología	Profesional	Ingreso Directo	2015	República	8	Ingeniería en Informática		I162S2C1J2V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	32512	Ingeniería en Automatización, Control Industrial y similares	Ingeniería  en Automatización y Control Industrial		Vespertino	Programa Regular	Tecnología	Profesional	Ingreso Directo	2015	República	8	Ingeniero  en Automatización y Control Industrial		I162S2C22J2V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	6679	Ingeniería en Conectividad y Redes	Ingeniería en Conectividad y Redes		Diurno	Programa Regular	Tecnología	Profesional	Ingreso Directo	2002		8	Ingeniería en Conectividad y Redes		I162S2C3J1V2	Pregrado	Presencial
Santiago	Santiago	Región Metropolitana	7	6680	Ingeniería en Conectividad y Redes	Ingeniería en Conectividad y Redes		Vespertino	Programa Regular	Tecnología	Profesional	Ingreso Directo	2002		8	Ingeniero en Conectividad y Redes		I162S2C3J2V4	Pregrado
Santiago	Santiago	Región Metropolitana	7	32511	Técnico en Automatización, Control automático y similares	TNS en Automatización y Control Industrial		Diurno	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2015	República	5	Técnico Nivel Sup. en Automatización y Control Industrial		I162S2C11J1V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	34525	Ingeniería en Computación e Informática y similares	Ingeniería en Informática (P.E.)		Vespertino	Programa Especial	Tecnología	Profesional	Ingreso Directo	2016	República	5	Ingeniero (a) en Informática		I162S2C1J2V3	Pregrado	Presencial	Continuidad (o articulación) de estudios
Santiago	Santiago	Región Metropolitana	7	32510	Ingeniería en Computación e Informática y similares	Ingeniería en Informática		Diurno	Programa Regular	Tecnología	Profesional	Ingreso Directo	2015	República	8	Ingeniería en Informática		I162S2C1J1V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	32515	Ingeniería en Automatización, Control Industrial y similares	Ingeniería en Automatización y Control Industrial		Diurno	Programa Regular	Tecnología	Profesional	Ingreso Directo	2015	República	8	Ingeniero en Automatización y Control Industrial		I162S2C22J1V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	34541	Ingeniería en Conectividad y Redes	Ingeniería en Conectividad y Redes (P.E.)		Vespertino	Programa Especial	Tecnología	Profesional	Ingreso Directo	2016	República	5	Ingeniero (a) en Conectividad y Redes		I162S2C3J2V3	Pregrado	Presencial	Continuidad (o articulación) de estudios
Santiago	Santiago	Región Metropolitana	7	36743	Técnico en Análisis de Sistemas Informáticos	TNS Análisis de Sistemas		Otro	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2017	República	6	Técnico Nivel Sup. Análisis de Sistemas		I162S2C35J4V1	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	36744	Técnico en Administración de Redes Computacionales	TNS en Conectividad y Redes		Otro	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2017	República	5	Técnico Nivel Sup. en Conectividad y Redes		I162S2C6J4V2	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	36742	Técnico Programador Computacional	TNS en Programación Computacional		Otro	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2017	República	5	Técnico Nivel Sup. en Programación Computacional		I162S2C2J4V1	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	51507	Ingeniería en Logística y similares	Ingeniería en Logística		Diurno	Programa Regular	Tecnología	Profesional	Ingreso Directo	2024		8	Ingeniero en Logística		I162S2C77J1V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	51508	Ingeniería en Logística y similares	Ingeniería en Logística		Vespertino	Programa Regular	Tecnología	Profesional	Ingreso Directo	2024		8	Ingeniero en Logística		I162S2C77J2V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	51509	Ingeniería en Logística y similares	Ingeniería en Logística		Otro	Programa Regular	Tecnología	Profesional	Ingreso Directo	2024		8	Ingeniero en Logística		I162S2C77J4V1	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	51511	Técnico en Logística y similares	TNS en Logística		Diurno	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2024		5	Técnico Nivel Sup. en Logística		I162S2C79J1V1	Pregrado	Presencial	Otro objetivo
